threads: 1
FW_SR,1024,64,0.6846
FW_SR,1024,128,0.6238
FW_SR,1024,256,0.7648
FW_SR,2048,64,5.1854
FW_SR,2048,128,4.5120
FW_SR,2048,256,5.4308
FW_SR,4096,64,41.6264
FW_SR,4096,128,35.5704
FW_SR,4096,256,43.2549
threads: 2
FW_SR,1024,64,0.4433
FW_SR,1024,128,0.4179
FW_SR,1024,256,0.5713
FW_SR,2048,64,3.3077
FW_SR,2048,128,2.9196
FW_SR,2048,256,3.6025
FW_SR,4096,64,26.0706
FW_SR,4096,128,22.4614
FW_SR,4096,256,27.4622
threads: 4
FW_SR,1024,64,0.4190
FW_SR,1024,128,0.4190
FW_SR,1024,256,0.5921
FW_SR,2048,64,2.8328
FW_SR,2048,128,2.5747
FW_SR,2048,256,3.1217
FW_SR,4096,64,21.7616
FW_SR,4096,128,19.1032
FW_SR,4096,256,22.9564
threads: 6
FW_SR,1024,64,0.3616
FW_SR,1024,128,0.4216
FW_SR,1024,256,0.5185
FW_SR,2048,64,2.7873
FW_SR,2048,128,2.4976
FW_SR,2048,256,3.1038
FW_SR,4096,64,21.8852
FW_SR,4096,128,19.2175
FW_SR,4096,256,23.6914
threads: 8
FW_SR,1024,64,0.4174
FW_SR,1024,128,0.4174
FW_SR,1024,256,0.5654
FW_SR,2048,64,2.7296
FW_SR,2048,128,2.4767
FW_SR,2048,256,3.1117
FW_SR,4096,64,21.9587
FW_SR,4096,128,19.0535
FW_SR,4096,256,22.6803
threads: 16
FW_SR,1024,64,0.4221
FW_SR,1024,128,0.4428
FW_SR,1024,256,0.5683
FW_SR,2048,64,2.7930
FW_SR,2048,128,2.6481
FW_SR,2048,256,3.0771
FW_SR,4096,64,21.4087
FW_SR,4096,128,19.0794
FW_SR,4096,256,23.3848
threads: 32
FW_SR,1024,64,0.4596
FW_SR,1024,128,0.4383
FW_SR,1024,256,0.5996
FW_SR,2048,64,2.9063
FW_SR,2048,128,2.7110
FW_SR,2048,256,3.1694
FW_SR,4096,64,21.9422
FW_SR,4096,128,19.1836
FW_SR,4096,256,23.1556
threads: 64
FW_SR,1024,64,0.4573
FW_SR,1024,128,0.4771
FW_SR,1024,256,0.6703
FW_SR,2048,64,2.9695
FW_SR,2048,128,2.7660
FW_SR,2048,256,3.1764
FW_SR,4096,64,21.9435
FW_SR,4096,128,19.0516
FW_SR,4096,256,23.2267
